node1,node2
fox point,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox,fox news
fox,fox sports
fox,fox point
fox,fox
fox,fox news
fox,fox sports
fox,rupert murdoch
fox,roger
fox,fox broadcasting            
fox,fox news
fox,fox
fox,nfl
fox,republican party
fox,edwin starr song war
fox,nike
fox,nfl
fox,fox point
fox,nfl
fox,navajo
fox,nfl
fox,google
fox,fox
fox,fox
fox,fox
fox,bill penzey
fox,fox point
fox,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox news,fox sports
fox news,fox point
fox news,fox
fox news,fox news
fox news,fox sports
fox news,rupert murdoch
fox news,roger
fox news,fox broadcasting            
fox news,fox news
fox news,fox
fox news,nfl
fox news,republican party
fox news,edwin starr song war
fox news,nike
fox news,nfl
fox news,fox point
fox news,nfl
fox news,navajo
fox news,nfl
fox news,google
fox news,fox
fox news,fox
fox news,fox
fox news,bill penzey
fox news,fox point
fox news,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox sports,fox point
fox sports,fox
fox sports,fox news
fox sports,fox sports
fox sports,rupert murdoch
fox sports,roger
fox sports,fox broadcasting            
fox sports,fox news
fox sports,fox
fox sports,nfl
fox sports,republican party
fox sports,edwin starr song war
fox sports,nike
fox sports,nfl
fox sports,fox point
fox sports,nfl
fox sports,navajo
fox sports,nfl
fox sports,google
fox sports,fox
fox sports,fox
fox sports,fox
fox sports,bill penzey
fox sports,fox point
fox sports,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox point,fox
fox point,fox news
fox point,fox sports
fox point,rupert murdoch
fox point,roger
fox point,fox broadcasting            
fox point,fox news
fox point,fox
fox point,nfl
fox point,republican party
fox point,edwin starr song war
fox point,nike
fox point,nfl
fox point,fox point
fox point,nfl
fox point,navajo
fox point,nfl
fox point,google
fox point,fox
fox point,fox
fox point,fox
fox point,bill penzey
fox point,fox point
fox point,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox,fox news
fox,fox sports
fox,rupert murdoch
fox,roger
fox,fox broadcasting            
fox,fox news
fox,fox
fox,nfl
fox,republican party
fox,edwin starr song war
fox,nike
fox,nfl
fox,fox point
fox,nfl
fox,navajo
fox,nfl
fox,google
fox,fox
fox,fox
fox,fox
fox,bill penzey
fox,fox point
fox,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox news,fox sports
fox news,rupert murdoch
fox news,roger
fox news,fox broadcasting            
fox news,fox news
fox news,fox
fox news,nfl
fox news,republican party
fox news,edwin starr song war
fox news,nike
fox news,nfl
fox news,fox point
fox news,nfl
fox news,navajo
fox news,nfl
fox news,google
fox news,fox
fox news,fox
fox news,fox
fox news,bill penzey
fox news,fox point
fox news,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox sports,rupert murdoch
fox sports,roger
fox sports,fox broadcasting            
fox sports,fox news
fox sports,fox
fox sports,nfl
fox sports,republican party
fox sports,edwin starr song war
fox sports,nike
fox sports,nfl
fox sports,fox point
fox sports,nfl
fox sports,navajo
fox sports,nfl
fox sports,google
fox sports,fox
fox sports,fox
fox sports,fox
fox sports,bill penzey
fox sports,fox point
fox sports,cakes   wwwpenzeysshoprecipesmamacrabcakes
rupert murdoch,roger
rupert murdoch,fox broadcasting            
rupert murdoch,fox news
rupert murdoch,fox
rupert murdoch,nfl
rupert murdoch,republican party
rupert murdoch,edwin starr song war
rupert murdoch,nike
rupert murdoch,nfl
rupert murdoch,fox point
rupert murdoch,nfl
rupert murdoch,navajo
rupert murdoch,nfl
rupert murdoch,google
rupert murdoch,fox
rupert murdoch,fox
rupert murdoch,fox
rupert murdoch,bill penzey
rupert murdoch,fox point
rupert murdoch,cakes   wwwpenzeysshoprecipesmamacrabcakes
roger,fox broadcasting            
roger,fox news
roger,fox
roger,nfl
roger,republican party
roger,edwin starr song war
roger,nike
roger,nfl
roger,fox point
roger,nfl
roger,navajo
roger,nfl
roger,google
roger,fox
roger,fox
roger,fox
roger,bill penzey
roger,fox point
roger,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox broadcasting            ,fox news
fox broadcasting            ,fox
fox broadcasting            ,nfl
fox broadcasting            ,republican party
fox broadcasting            ,edwin starr song war
fox broadcasting            ,nike
fox broadcasting            ,nfl
fox broadcasting            ,fox point
fox broadcasting            ,nfl
fox broadcasting            ,navajo
fox broadcasting            ,nfl
fox broadcasting            ,google
fox broadcasting            ,fox
fox broadcasting            ,fox
fox broadcasting            ,fox
fox broadcasting            ,bill penzey
fox broadcasting            ,fox point
fox broadcasting            ,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox news,fox
fox news,nfl
fox news,republican party
fox news,edwin starr song war
fox news,nike
fox news,nfl
fox news,fox point
fox news,nfl
fox news,navajo
fox news,nfl
fox news,google
fox news,fox
fox news,fox
fox news,fox
fox news,bill penzey
fox news,fox point
fox news,cakes   wwwpenzeysshoprecipesmamacrabcakes
fox,nfl
fox,republican party
fox,edwin starr song war
fox,nike
fox,nfl
fox,fox point
fox,nfl
fox,navajo
fox,nfl
fox,google
fox,fox
fox,fox
fox,fox
fox,bill penzey
fox,fox point
fox,cakes   wwwpenzeysshoprecipesmamacrabcakes
nfl,republican party
nfl,edwin starr song war
nfl,nike
nfl,nfl
nfl,fox point
nfl,nfl
nfl,navajo
nfl,nfl
nfl,google
nfl,fox
nfl,fox
nfl,fox
nfl,bill penzey
nfl,fox point
nfl,cakes   wwwpenzeysshoprecipesmamacrabcakes
republican party,edwin starr song war
republican party,nike
republican party,nfl
republican party,fox point
republican party,nfl
republican party,navajo
republican party,nfl
republican party,google
republican party,fox
republican party,fox
republican party,fox
republican party,bill penzey
republican party,fox point
republican party,cakes   wwwpenzeysshoprecipesmamacrabcakes
edwin starr song war,nike
edwin starr song war,nfl
edwin starr song war,fox point
edwin starr song war,nfl
edwin starr song war,navajo
edwin starr song war,nfl
edwin starr song war,google
edwin starr song war,fox
edwin starr song war,fox
edwin starr song war,fox
